Time,80 ug/mL 100 uL I,80 ug/mL 100 uL II,80 ug/mL 100 uL III,20 ug/mL 100 uL I,20 ug/mL 100 uL II,20 ug/mL 100 uL III,B100 I,B100 II,B100 III
0,2727,2925,2687,3107,3497,2816,2525,2432,2457
1,5349,6832,6122,4775,6439,6139,2501,2533,2472
2,6790,7910,7219,6139,7235,6502,2482,2530,2392
3,7691,9335,8165,6753,8348,7385,2426,2465,2524
4,9202,11070,9686,7988,9562,8628,2532,2496,2439
5,10769,12956,11351,8965,10438,9525,2444,2497,2529
6,12897,15342,13795,9836,11399,10356,2450,2442,2456
7,15501,17743,16378,10800,12278,11339,2441,2517,2476
8,17955,19926,18484,11798,13096,12026,2446,2597,2474
9,20468,22884,21235,12232,13484,12354,2477,2447,2452
10,23296,25494,23862,13156,14139,13177,2408,2498,2426
11,25684,28109,26747,13516,14700,13497,2502,2507,2442
12,28946,31239,29257,13965,14814,13943,2503,2517,2438
13,31786,34119,32936,14634,15513,14298,2468,2465,2447
14,34832,36948,35808,15115,15925,14938,2469,2542,2471
15,38302,40044,38662,15450,16238,15079,2419,2469,2416
16,40734,42956,42006,15422,16257,15301,2423,2470,2444
17,44014,46249,44626,15772,16615,15415,2545,2456,2446
18,47724,49824,48116,16162,16821,15705,2366,2554,2448
19,51139,53020,51523,16241,16819,15764,2402,2425,2424
20,54538,55992,54466,16438,17038,15858,2425,2472,2437
21,57776,58536,58100,16744,17252,16036,2482,2503,2430
22,61391,61866,60911,16920,17434,16107,2434,2476,2398
23,64342,65138,63581,16876,17375,16334,2487,2414,2365
24,67550,67809,66849,17160,17694,16244,2406,2473,2371
25,69688,70458,68720,17132,17521,16456,2433,2492,2398
26,73110,72657,70776,17059,17579,16495,2398,2429,2470
27,75230,74583,73261,17306,17660,16304,2369,2486,2430
28,77000,76660,75479,17280,17737,16672,2457,2434,2454
29,79425,77925,77158,17409,17822,16459,2377,2465,2457
30,81474,79422,78623,17282,17851,16675,2380,2475,2417
31,81830,80936,79207,17387,17757,16682,2465,2516,2443
32,83143,81441,80418,17370,17786,16686,2421,2497,2478
33,83840,82253,81552,17337,17906,16650,2432,2536,2392
34,85090,82835,82437,17361,17787,16665,2405,2430,2460
35,86389,83206,82664,17286,17672,16388,2446,2419,2334
36,86910,83790,83732,17392,17959,16477,2404,2478,2461
37,86832,83799,84269,17412,17772,16732,2330,2406,2435
38,87969,84064,84319,17368,18110,16750,2360,2490,2403
39,88459,84476,84752,17263,18056,16660,2368,2420,2482
40,88201,84308,84319,17331,17979,16616,2352,2506,2397
41,87802,83970,84144,17314,17768,16635,2396,2472,2475
42,89267,85004,85022,17182,17715,16640,2411,2392,2438
43,88225,84113,84437,17228,17776,16422,2364,2512,2397
44,88992,84391,85145,17350,17839,16589,2408,2440,2458
45,89638,84954,85838,17409,17955,16569,2420,2487,2432
46,88280,84557,84657,17180,17951,16536,2396,2426,2414
47,89112,83958,84995,17105,17773,16575,2341,2470,2448
48,88968,83985,84275,17043,17887,16521,2328,2378,2403
49,89044,83924,84246,17358,17919,16654,2344,2449,2446
50,88495,84122,85023,17286,17860,16266,2336,2460,2346
51,88001,83172,83942,17352,17800,16636,2330,2436,2434
52,88028,83294,84254,17170,17783,16596,2374,2481,2487
53,88148,83919,84367,17310,17911,16501,2373,2418,2410
54,88371,83836,83975,17255,17838,16368,2379,2475,2418
55,87846,83381,83516,17031,17692,16389,2376,2492,2437
56,88167,82872,83709,17120,17810,16526,2400,2443,2487
57,87470,83243,83635,17103,17778,16392,2395,2449,2411
58,87020,82444,83473,16986,17746,16274,2375,2518,2430
59,87501,82767,83335,16962,17734,16456,2422,2441,2380
60,87630,82588,83090,17133,17748,16392,2363,2449,2356
61,87014,82524,82535,17228,17630,16459,2345,2464,2428
62,86739,81885,81988,16950,17551,16382,2363,2438,2428
63,86649,81642,82974,16875,17846,16442,2329,2402,2469
64,86781,81385,83157,17108,17543,16306,2385,2564,2414
65,86454,80908,82348,16963,17663,16453,2392,2452,2482
66,86406,81473,82461,16884,17812,16341,2374,2596,2452
67,85644,81507,82404,16934,17539,16378,2361,2470,2450
68,86443,80398,81801,16842,17538,16184,2330,2456,2474
69,86112,81363,81656,17038,17762,16485,2370,2507,2434
70,85952,81359,81256,16930,17307,16249,2332,2410,2443
71,85702,80154,81836,16950,17385,16335,2357,2539,2366
72,85652,80653,81595,16953,17362,16202,2451,2403,2420
73,85610,80664,81587,16926,17386,16120,2400,2528,2379
74,85698,80444,81073,16921,17319,16283,2405,2455,2419
75,84908,79888,81308,16781,17408,16057,2384,2522,2434
76,84704,80333,81313,16813,17370,16053,2375,2422,2433
77,85083,80072,80537,16896,17394,16122,2290,2370,2310
78,85383,79897,80614,16948,17321,16213,2379,2471,2415
79,84786,80050,81159,17050,17385,16118,2296,2497,2422
80,84734,79386,80359,16652,17286,16146,2378,2480,2379
81,84190,79447,80392,16716,17431,16074,2302,2440,2424
82,83901,79666,80154,16763,17241,16013,2409,2446,2426
83,84284,79279,80004,16783,17082,16054,2436,2423,2488
84,84551,79725,79535,16731,17388,16271,2407,2477,2441
85,84258,79426,80911,16761,17338,15936,2432,2400,2406
86,83597,79382,80126,16592,17050,16073,2347,2419,2435
87,84729,79433,80126,16485,17143,16178,2437,2424,2419
88,83409,78845,79488,16644,17284,15886,2380,2478,2453
89,83912,78887,80248,16518,17081,16044,2361,2418,2400
90,83489,79043,78814,16634,17185,15990,2355,2416,2436
91,83224,78100,78874,16381,17052,15818,2299,2404,2405
92,82713,77825,79086,16537,17070,15907,2356,2424,2470
93,83381,77819,79431,16462,17251,15956,2396,2472,2390
94,83195,77742,78832,16429,16892,15764,2378,2437,2429
95,83423,78020,79599,16693,17135,15851,2270,2451,2393
96,82593,78141,78618,16613,17062,15728,2406,2548,2438
97,83712,77075,78548,16203,17081,15823,2360,2502,2430
98,81682,77346,78149,16130,16877,15842,2410,2468,2364
99,82038,77182,79072,16370,16973,15754,2404,2502,2464
100,82820,77937,78591,16349,17017,15923,2366,2470,2408
101,82599,77753,78101,16350,16954,15631,2382,2411,2430
102,82607,77150,78446,16092,16881,15640,2296,2518,2407
103,83128,76676,77419,16105,16838,15651,2342,2492,2395
104,82846,76986,77819,16353,16854,15864,2327,2475,2433
105,82587,77016,77662,16192,16814,15672,2372,2470,2466
106,81963,76646,77360,16160,16847,15728,2344,2450,2432
107,82208,76964,77469,16332,16827,15763,2353,2352,2410
108,81962,76583,78122,16294,16739,15863,2404,2506,2452
109,81292,76419,77027,16231,16777,15858,2341,2500,2405
110,81731,76823,77436,16291,16814,15898,2379,2547,2435
111,81952,76519,77405,15920,16772,15816,2424,2404,2391
112,82286,76643,77659,16208,16804,15777,2383,2500,2427
113,81383,75631,76929,16119,16710,15639,2358,2455,2434
114,81073,75833,77026,16054,16523,15508,2390,2479,2399
115,81354,75774,76811,16156,16790,15718,2346,2506,2419
116,80762,75840,76127,16147,16577,15515,2381,2500,2384
117,81405,76913,77137,16098,16832,15800,2336,2431,2438
118,81424,76140,76378,16003,16603,15588,2366,2450,2398
119,81500,76203,76914,16119,16856,15584,2334,2486,2372
120,80566,75297,76058,16040,16790,15519,2342,2420,2421
121,80708,75662,76661,16042,16659,15599,2341,2482,2404
122,80022,75040,75592,16021,16504,15552,2376,2474,2368
123,80760,75131,76012,16040,16568,15460,2366,2399,2390
124,80324,75257,76188,16080,16510,15438,2340,2445,2433
125,80102,74771,75014,15991,16658,15608,2359,2474,2407
126,81015,75291,76900,15745,16692,15527,2314,2430,2428
127,80154,74709,75681,15894,16548,15521,2330,2479,2386
128,80211,74931,75693,15930,16594,15468,2354,2456,2418
129,79196,74354,75130,15921,16476,15504,2367,2424,2447
130,79709,74357,75419,16008,16448,15466,2341,2462,2452
131,80230,75257,76261,15904,16514,15413,2352,2462,2401
132,79296,74032,75468,15801,16426,15452,2370,2363,2412
133,79774,75088,76284,15780,16531,15516,2338,2484,2375
134,79857,73063,75220,16045,16392,15336,2418,2536,2411
135,80489,74047,75181,15785,16356,15455,2348,2409,2359
136,79794,74750,75128,15869,16348,15363,2331,2495,2470
137,79694,74215,74755,15680,16386,15362,2405,2493,2376
138,78887,73791,75087,15630,16426,15366,2361,2419,2359
139,79834,74076,75368,15974,16458,15303,2306,2439,2406
140,79196,73800,74428,15656,16327,15322,2373,2436,2447
141,79330,73637,74868,15790,16390,15348,2286,2408,2425
142,78938,74018,74650,15647,16216,15226,2403,2441,2364
143,78456,73252,74601,15901,16388,15344,2359,2498,2352
144,78222,73468,74264,15689,16128,15382,2338,2489,2416
145,78642,73054,74460,15506,16246,15194,2368,2430,2419
146,78960,73265,74516,15563,16408,15465,2394,2432,2501
147,78129,73341,74765,15742,16211,15204,2322,2461,2449
148,78564,72993,73713,15622,16098,15275,2446,2378,2425
149,78940,72639,74138,15622,16489,15380,2272,2489,2428
150,78232,72990,74550,15518,16249,15186,2372,2438,2422
151,78098,72420,73600,15520,16098,15209,2381,2426,2434
152,78120,71893,74067,15653,16237,15199,2340,2463,2493
153,77961,72695,73356,15626,16089,15214,2350,2508,2402
154,77389,72236,73740,15586,16306,15172,2338,2461,2409
155,77812,71948,73182,15519,16101,15058,2374,2433,2493
156,78084,72779,73361,15390,15985,15209,2439,2398,2413
157,77876,72228,73421,15345,16168,15216,2397,2354,2451
158,77576,72686,73439,15408,16198,15044,2342,2532,2410
159,78364,72727,73373,15472,16093,15017,2348,2419,2334
160,77374,72326,73189,15508,16212,15275,2394,2365,2397
161,77916,72256,73508,15576,16077,15220,2352,2473,2448
162,77890,72272,72602,15376,16118,15163,2381,2472,2390
163,77774,72026,72694,15436,16001,15047,2373,2403,2438
164,77568,72067,72504,15431,16066,15127,2413,2356,2425
165,77090,71244,72356,15567,16097,15184,2402,2452,2412
166,76652,71827,73022,15250,15795,15081,2477,2440,2435
167,77706,71934,73424,15502,16023,15177,2300,2465,2426
168,76894,71620,72848,15435,16156,14992,2365,2484,2418
169,77124,71722,73661,15584,16058,15155,2360,2484,2341
170,76529,71318,72454,15445,16082,14917,2352,2482,2375
171,77575,71918,73184,15566,16201,15086,2422,2560,2439
172,76870,71823,72377,15119,15993,14947,2356,2483,2402
173,77078,71810,72433,15419,16336,15007,2369,2447,2361
174,76805,71192,72607,15339,15898,14969,2385,2444,2402
175,76673,71107,72119,15158,15964,14772,2295,2480,2414
176,75931,71282,71864,15404,16006,14935,2350,2518,2400
177,76422,71307,72052,15222,15792,15018,2322,2439,2459
178,76026,71147,71910,15218,15797,15000,2324,2493,2376
179,77083,71630,71990,15263,15933,14914,2299,2410,2456
180,76266,71093,72029,15123,15965,14843,2475,2399,2361
181,75690,70661,71575,15320,15865,14916,2349,2353,2356
182,76542,71281,71796,15308,15984,15046,2402,2457,2443
183,76487,70576,71515,15246,15829,14778,2386,2436,2324
184,75946,70051,71657,15289,15797,14852,2407,2392,2456
185,76364,70218,72314,15354,15876,14810,2352,2508,2365
186,76121,70178,71340,15242,15775,14955,2398,2414,2409
187,75051,70521,71238,15308,15820,14932,2371,2489,2398
188,75485,70577,71432,15316,15852,14912,2334,2511,2437
189,75086,70358,71327,15144,15789,14833,2364,2406,2423
190,75449,70196,71072,15008,15809,14819,2352,2466,2404
191,74834,69589,71318,15025,15845,14761,2403,2448,2477
192,75672,70075,71040,15019,15898,14947,2391,2408,2470
193,74649,70614,70816,15221,15859,14823,2392,2472,2394
194,75169,69959,71268,15141,15736,14772,2375,2506,2420
195,75084,69560,70440,15023,15782,14584,2329,2426,2457
196,74429,69525,70261,15058,15679,14966,2385,2408,2408
197,75580,70121,71415,15221,16003,15007,2336,2479,2371
198,74610,69937,70404,14926,15868,14750,2380,2449,2463
199,74591,69593,70816,14971,15658,14762,2365,2429,2458
